Order_ID,Order_Date,Order_YearMonth,Retailer_ID,Product_SKU, Product_Price , Product_Cost , Order_Quantity , Sales_Amount , Cost_of_Goods_Sold ,Product_Discount,Profit,Profit_Margin
83,01/10/18,201801,154,MH06-S-Purple, £25.00 , £14.05 ,44," £1,100.00 ", £618.20 ,40.48%, £481.80 ,44%
84,01/10/18,201801,475,MH06-XL-Black, £21.00 , £12.09 ,33, £693.00 , £398.97 ,43.24%, £294.03 ,42%
85,01/10/18,201801,713,MH06-XL-Blue, £42.00 , £20.96 ,10, £420.00 , £209.60 ,4.55%, £210.40 ,50%
86,01/10/18,201801,382,MH06-XL-Purple, £23.00 , £14.46 ,12, £276.00 , £173.52 ,47.73%, £102.48 ,37%
87,01/10/18,201801,448,MH06-XS-Black, £43.00 , £15.05 ,27," £1,161.00 ", £406.35 ,0.00%, £754.65 ,65%
88,01/10/18,201801,772,MH02-XS-Red, £25.00 , £10.43 ,45," £1,125.00 ", £469.35 ,21.88%, £655.65 ,58%
89,01/10/18,201801,242,MH06-XS-Blue, £44.00 , £17.95 ,28," £1,232.00 ", £502.60 ,0.00%, £729.40 ,59%
90,01/11/18,201801,25,MH06-XS-Purple, £44.00 , £17.91 ,50," £2,200.00 ", £895.50 ,0.00%," £1,304.50 ",59%
91,01/11/18,201801,426,MH07-S-White, £40.00 , £11.73 ,3, £120.00 , £35.19 ,0.00%, £84.81 ,71%
92,01/11/18,201801,620,MH07-L-Black, £25.00 , £16.00 ,13, £325.00 , £208.00 ,44.44%, £117.00 ,36%
93,01/11/18,201801,634,MH07-L-Gray, £39.00 , £19.89 ,17, £663.00 , £338.13 ,11.36%, £324.87 ,49%
94,01/12/18,201801,121,MH07-L-Green, £27.00 , £9.78 ,23, £621.00 , £224.94 ,32.50%, £396.06 ,64%
95,01/12/18,201801,768,MH07-M-Black, £38.00 , £14.68 ,21, £798.00 , £308.28 ,15.56%, £489.72 ,61%
96,01/12/18,201801,415,MH07-M-Gray, £42.00 , £16.39 ,3, £126.00 , £49.17 ,0.00%, £76.83 ,61%
97,01/12/18,201801,654,MH06-M-Black, £24.00 , £13.52 ,29, £696.00 , £392.08 ,45.45%, £303.92 ,44%
98,01/12/18,201801,699,MH07-M-Green, £32.00 , £20.03 ,8, £256.00 , £160.24 ,25.58%, £95.76 ,37%
99,01/12/18,201801,367,MH05-L-Green, £33.00 , £18.23 ,23, £759.00 , £419.29 ,21.43%, £339.71 ,45%
100,01/12/18,201801,260,MH06-XL-Black, £33.00 , £12.09 ,36," £1,188.00 ", £435.24 ,10.81%, £752.76 ,63%
101,01/12/18,201801,428,MH07-S-Black, £42.00 , £13.71 ,14, £588.00 , £191.94 ,4.55%, £396.06 ,67%
102,01/12/18,201801,345,MH03-M-Black, £27.00 , £16.16 ,27, £729.00 , £436.32 ,38.64%, £292.68 ,40%
103,01/12/18,201801,711,MH07-S-Gray, £38.00 , £16.33 ,27," £1,026.00 ", £440.91 ,15.56%, £585.09 ,57%
104,01/12/18,201801,772,MH07-S-Green, £21.00 , £14.41 ,14, £294.00 , £201.74 ,53.33%, £92.26 ,31%
105,01/12/18,201801,27,MH07-XL-Black, £37.00 , £17.70 ,13, £481.00 , £230.10 ,7.50%, £250.90 ,52%
106,01/13/18,201801,302,MH07-XL-Gray, £24.00 , £17.38 ,9, £216.00 , £156.42 ,44.19%, £59.58 ,28%
107,01/13/18,201801,485,MH07-XL-Green, £35.00 , £11.46 ,41," £1,435.00 ", £469.86 ,14.63%, £965.14 ,67%
108,01/13/18,201801,92,MH07-XS-Black, £32.00 , £15.36 ,47," £1,504.00 ", £721.92 ,27.27%, £782.08 ,52%
109,01/13/18,201801,257,MH07-XS-Gray, £35.00 , £14.70 ,7, £245.00 , £102.90 ,18.60%, £142.10 ,58%
110,01/13/18,201801,84,MH07-XS-Green, £20.00 , £16.40 ,48, £960.00 , £787.20 ,52.38%, £172.80 ,18%
111,01/13/18,201801,522,MH08-S-Pink, £45.00 , £18.58 ,25," £1,125.00 ", £464.50 ,0.00%, £660.50 ,59%
112,01/14/18,201801,416,MH07-S-Black, £30.00 , £13.71 ,25, £750.00 , £342.75 ,31.82%, £407.25 ,54%
113,01/14/18,201801,154,MH08-L-Brown, £37.00 , £20.27 ,6, £222.00 , £121.62 ,13.95%, £100.38 ,45%
114,01/14/18,201801,754,MH08-L-Purple, £21.00 , £12.38 ,46, £966.00 , £569.48 ,53.33%, £396.52 ,41%
115,01/14/18,201801,43,MH08-L-Red, £29.00 , £8.18 ,41," £1,189.00 ", £335.38 ,29.27%, £853.62 ,72%
116,01/14/18,201801,392,MH04-S-Yellow, £34.00 , £18.22 ,30," £1,020.00 ", £546.60 ,24.44%, £473.40 ,46%
117,01/14/18,201801,710,MH08-M-Brown, £30.00 , £12.67 ,37," £1,110.00 ", £468.79 ,6.25%, £641.21 ,58%
118,01/14/18,201801,465,MH08-M-Purple, £39.00 , £15.06 ,35," £1,365.00 ", £527.10 ,13.33%, £837.90 ,61%
119,01/14/18,201801,176,MH08-M-Red, £39.00 , £11.90 ,2, £78.00 , £23.80 ,7.14%, £54.20 ,69%
120,01/14/18,201801,736,MH08-S-Brown, £39.00 , £18.93 ,20, £780.00 , £378.60 ,13.33%, £401.40 ,51%
121,01/14/18,201801,11,MH08-S-Purple, £39.00 , £13.74 ,36," £1,404.00 ", £494.64 ,7.14%, £909.36 ,65%
122,01/15/18,201801,565,MH08-S-Red, £33.00 , £12.71 ,11, £363.00 , £139.81 ,19.51%, £223.19 ,61%
123,01/15/18,201801,693,MH08-XL-Brown, £29.00 , £17.70 ,3, £87.00 , £53.10 ,25.64%, £33.90 ,39%
124,01/15/18,201801,304,MH08-XL-Purple, £36.00 , £7.92 ,13, £468.00 , £102.96 ,2.70%, £365.04 ,78%
125,01/15/18,201801,197,MH08-XL-Red, £30.00 , £19.20 ,18, £540.00 , £345.60 ,3.23%, £194.40 ,36%
126,01/15/18,201801,642,MH08-XS-Brown, £26.00 , £13.34 ,39," £1,014.00 ", £520.26 ,39.53%, £493.74 ,49%
127,01/15/18,201801,730,MH08-XS-Purple, £20.00 , £10.23 ,25, £500.00 , £255.75 ,52.38%, £244.25 ,49%
128,01/15/18,201801,187,MH08-XS-Red, £27.00 , £15.05 ,40," £1,080.00 ", £602.00 ,37.21%, £478.00 ,44%
129,01/15/18,201801,480,MH09-S-Pink, £30.00 , £9.79 ,26, £780.00 , £254.54 ,25.00%, £525.46 ,67%
130,01/15/18,201801,103,MH09-L-Blue, £43.00 , £23.65 ,46," £1,978.00 "," £1,087.90 ",0.00%, £890.10 ,45%
131,01/15/18,201801,739,MH09-L-Green, £41.00 , £14.01 ,24, £984.00 , £336.24 ,0.00%, £647.76 ,66%
132,01/15/18,201801,137,MH09-L-Red, £27.00 , £20.00 ,33, £891.00 , £660.00 ,37.21%, £231.00 ,26%
133,01/15/18,201801,744,MH09-M-Blue, £24.00 , £14.17 ,3, £72.00 , £42.51 ,46.67%, £29.49 ,41%
134,01/16/18,201801,729,MH09-M-Green, £31.00 , £11.55 ,17, £527.00 , £196.35 ,29.55%, £330.65 ,63%
135,01/16/18,201801,415,MH09-M-Red, £21.00 , £10.10 ,29, £609.00 , £292.90 ,43.24%, £316.10 ,52%
136,01/16/18,201801,730,MH09-S-Blue, £44.00 , £25.68 ,25," £1,100.00 ", £642.00 ,0.00%, £458.00 ,42%
137,01/16/18,201801,386,MH09-S-Green, £39.00 , £21.84 ,50," £1,950.00 "," £1,092.00 ",11.36%, £858.00 ,44%
138,01/16/18,201801,593,MH09-S-Red, £26.00 , £7.40 ,12, £312.00 , £88.80 ,42.22%, £223.20 ,72%
139,01/16/18,201801,525,MH08-XS-Brown, £38.00 , £13.34 ,20, £760.00 , £266.80 ,11.63%, £493.20 ,65%
140,01/16/18,201801,747,MH09-XL-Blue, £38.00 , £17.49 ,47," £1,786.00 ", £822.03 ,15.56%, £963.97 ,54%
141,01/17/18,201801,148,MH09-XL-Green, £45.00 , £22.32 ,18, £810.00 , £401.76 ,0.00%, £408.24 ,50%
142,01/17/18,201801,261,MH09-XL-Red, £34.00 , £12.80 ,18, £612.00 , £230.40 ,15.00%, £381.60 ,62%
143,01/17/18,201801,482,MH09-XS-Blue, £39.00 , £15.60 ,41," £1,599.00 ", £639.60 ,7.14%, £959.40 ,60%
144,01/17/18,201801,318,MH09-XS-Green, £35.00 , £14.26 ,5, £175.00 , £71.30 ,22.22%, £103.70 ,59%
145,01/18/18,201801,330,MH09-XS-Red, £32.00 , £19.20 ,27, £864.00 , £518.40 ,15.79%, £345.60 ,40%
146,01/18/18,201801,693,MH10-S-Pink, £36.00 , £23.04 ,36," £1,296.00 ", £829.44 ,14.29%, £466.56 ,36%
147,01/19/18,201801,729,MH10-L-Black, £33.00 , £11.24 ,41," £1,353.00 ", £460.84 ,19.51%, £892.16 ,66%
148,01/19/18,201801,339,MH10-L-Blue, £29.00 , £11.07 ,40," £1,160.00 ", £442.80 ,35.56%, £717.20 ,62%
149,01/19/18,201801,462,MH03-M-Black, £25.00 , £16.16 ,34, £850.00 , £549.44 ,43.18%, £300.56 ,35%
150,01/19/18,201801,321,MH10-L-Red, £28.00 , £13.83 ,36," £1,008.00 ", £497.88 ,36.36%, £510.12 ,51%
151,01/19/18,201801,39,MH10-M-Black, £27.00 , £11.96 ,40," £1,080.00 ", £478.40 ,38.64%, £601.60 ,56%
152,01/19/18,201801,724,MH10-M-Blue, £26.00 , £10.61 ,19, £494.00 , £201.59 ,33.33%, £292.41 ,59%
153,01/19/18,201801,536,MH10-M-Red, £26.00 , £18.22 ,33, £858.00 , £601.26 ,40.91%, £256.74 ,30%
154,01/19/18,201801,706,MH06-S-Red, £34.00 , £14.92 ,16, £544.00 , £238.72 ,24.44%, £305.28 ,56%
155,01/19/18,201801,593,MH10-S-Black, £43.00 , £19.99 ,4, £172.00 , £79.96 ,2.27%, £92.04 ,54%
156,01/19/18,201801,30,MH03-XS-Green, £39.00 , £12.26 ,36," £1,404.00 ", £441.36 ,4.88%, £962.64 ,69%
157,01/19/18,201801,785,MH10-S-Blue, £24.00 , £15.84 ,37, £888.00 , £586.08 ,38.46%, £301.92 ,34%
158,01/19/18,201801,609,MH04-L-White, £33.00 , £8.91 ,46," £1,518.00 ", £409.86 ,26.67%," £1,108.14 ",73%
159,01/19/18,201801,456,MH10-S-Red, £33.00 , £22.83 ,33," £1,089.00 ", £753.39 ,26.67%, £335.61 ,31%
160,01/19/18,201801,168,MH10-XL-Black, £40.00 , £11.04 ,12, £480.00 , £132.48 ,11.11%, £347.52 ,72%
161,01/20/18,201801,660,MH10-XL-Blue, £28.00 , £10.37 ,25, £700.00 , £259.25 ,31.71%, £440.75 ,63%
162,01/20/18,201801,183,MH10-XL-Red, £34.00 , £13.47 ,9, £306.00 , £121.23 ,22.73%, £184.77 ,60%
163,01/20/18,201801,518,MH10-XS-Black, £39.00 , £13.32 ,6, £234.00 , £79.92 ,0.00%, £154.08 ,66%
164,01/20/18,201801,4,MH10-XS-Blue, £30.00 , £15.28 ,49," £1,470.00 ", £748.72 ,28.57%, £721.28 ,49%
165,01/20/18,201801,536,MH10-XS-Red, £36.00 , £18.22 ,39," £1,404.00 ", £710.58 ,16.28%, £693.42 ,49%
166,01/20/18,201801,72,MH11-S-Pink, £33.00 , £14.87 ,44," £1,452.00 ", £654.28 ,25.00%, £797.72 ,55%
167,01/20/18,201801,100,MH02-XL-Black, £26.00 , £16.30 ,27, £702.00 , £440.10 ,38.10%, £261.90 ,37%
168,01/20/18,201801,456,MH11-L-Orange, £30.00 , £13.80 ,36," £1,080.00 ", £496.80 ,0.00%, £583.20 ,54%
169,01/20/18,201801,319,MH11-L-Red, £30.00 , £16.08 ,32, £960.00 , £514.56 ,33.33%, £445.44 ,46%
170,01/20/18,201801,667,MH11-L-White, £41.00 , £15.10 ,13, £533.00 , £196.30 ,4.65%, £336.70 ,63%
171,01/21/18,201801,631,MH11-M-Orange, £28.00 , £16.39 ,18, £504.00 , £295.02 ,36.36%, £208.98 ,41%
172,01/21/18,201801,716,MH11-M-Red, £38.00 , £16.58 ,42," £1,596.00 ", £696.36 ,2.56%, £899.64 ,56%
173,01/21/18,201801,372,MH09-L-Red, £43.00 , £20.00 ,18, £774.00 , £360.00 ,0.00%, £414.00 ,53%
174,01/22/18,201801,240,MH11-M-White, £44.00 , £13.28 ,30," £1,320.00 ", £398.40 ,2.22%, £921.60 ,70%
175,01/22/18,201801,470,MH05-M-White, £29.00 , £15.43 ,24, £696.00 , £370.32 ,30.95%, £325.68 ,47%
176,01/22/18,201801,133,MH11-S-Orange, £43.00 , £19.16 ,21, £903.00 , £402.36 ,4.44%, £500.64 ,55%
177,01/22/18,201801,233,MH07-S-White, £21.00 , £11.73 ,5, £105.00 , £58.65 ,47.50%, £46.35 ,44%
178,01/22/18,201801,318,MH03-M-Black, £41.00 , £16.16 ,23, £943.00 , £371.68 ,6.82%, £571.32 ,61%
179,01/23/18,201801,18,MH11-S-Red, £44.00 , £11.44 ,15, £660.00 , £171.60 ,2.22%, £488.40 ,74%
180,01/23/18,201801,760,MH11-S-White, £44.00 , £12.75 ,4, £176.00 , £51.00 ,2.22%, £125.00 ,71%
181,01/24/18,201801,232,MH11-XL-Orange, £23.00 , £10.81 ,49," £1,127.00 ", £529.69 ,45.24%, £597.31 ,53%
182,01/24/18,201801,218,MH11-XL-Red, £33.00 , £18.16 ,5, £165.00 , £90.80 ,25.00%, £74.20 ,45%
183,01/24/18,201801,745,MH09-XL-Red, £38.00 , £12.80 ,39," £1,482.00 ", £499.20 ,5.00%, £982.80 ,66%
184,01/24/18,201801,622,MH11-XL-White, £22.00 , £12.73 ,30, £660.00 , £381.90 ,51.11%, £278.10 ,42%
185,01/24/18,201801,560,MH11-XS-Orange, £43.00 , £16.34 ,31," £1,333.00 ", £506.54 ,0.00%, £826.46 ,62%
186,01/24/18,201801,349,MH11-XS-Red, £35.00 , £14.32 ,24, £840.00 , £343.68 ,20.45%, £496.32 ,59%
187,01/24/18,201801,552,MH11-XS-White, £22.00 , £15.69 ,15, £330.00 , £235.35 ,47.62%, £94.65 ,29%
188,01/24/18,201801,336,MH12-S-Pink, £45.00 , £13.50 ,11, £495.00 , £148.50 ,0.00%, £346.50 ,70%
189,01/24/18,201801,125,MH12-L-Blue, £42.00 , £14.70 ,10, £420.00 , £147.00 ,4.55%, £273.00 ,65%
190,01/25/18,201801,716,MH10-XL-Red, £41.00 , £13.47 ,50," £2,050.00 ", £673.50 ,6.82%," £1,376.50 ",67%
191,01/25/18,201801,448,MH12-L-Green, £30.00 , £17.10 ,36," £1,080.00 ", £615.60 ,23.08%, £464.40 ,43%
192,01/25/18,201801,288,MH12-L-Red, £23.00 , £10.64 ,38, £874.00 , £404.32 ,41.03%, £469.68 ,54%
193,01/25/18,201801,300,MH10-XS-Red, £28.00 , £18.22 ,41," £1,148.00 ", £747.02 ,34.88%, £400.98 ,35%
194,01/25/18,201801,165,MH12-M-Blue, £44.00 , £20.17 ,4, £176.00 , £80.68 ,0.00%, £95.32 ,54%
195,01/26/18,201801,754,MH12-M-Green, £34.00 , £14.27 ,3, £102.00 , £42.81 ,20.93%, £59.19 ,58%
196,01/26/18,201801,278,MH11-XS-White, £38.00 , £15.69 ,1, £38.00 , £15.69 ,9.52%, £22.31 ,59%
197,01/26/18,201801,556,MH12-M-Red, £41.00 , £26.26 ,3, £123.00 , £78.78 ,8.89%, £44.22 ,36%
198,01/26/18,201801,510,MH12-S-Blue, £41.00 , £14.30 ,36," £1,476.00 ", £514.80 ,0.00%, £961.20 ,65%
199,01/26/18,201801,749,MH12-S-Green, £45.00 , £22.30 ,34," £1,530.00 ", £758.20 ,0.00%, £771.80 ,50%
200,01/26/18,201801,126,MH12-S-Red, £43.00 , £23.67 ,31," £1,333.00 ", £733.77 ,4.44%, £599.23 ,45%
201,01/27/18,201801,526,MH12-XL-Blue, £23.00 , £12.18 ,4, £92.00 , £48.72 ,48.89%, £43.28 ,47%
202,01/27/18,201801,140,MH12-XL-Green, £45.00 , £15.03 ,38," £1,710.00 ", £571.14 ,0.00%," £1,138.86 ",67%
203,01/27/18,201801,692,MH12-XL-Red, £33.00 , £12.62 ,14, £462.00 , £176.68 ,26.67%, £285.32 ,62%
204,01/28/18,201801,474,MH12-XS-Blue, £31.00 , £14.43 ,42," £1,302.00 ", £606.06 ,29.55%, £695.94 ,53%
205,01/28/18,201801,494,MH12-XS-Green, £43.00 , £13.88 ,23, £989.00 , £319.24 ,0.00%, £669.76 ,68%
206,01/28/18,201801,574,MH12-XS-Red, £22.00 , £12.98 ,31, £682.00 , £402.38 ,50.00%, £279.62 ,41%
207,01/29/18,201801,531,MH13-S-Pink, £25.00 , £9.60 ,16, £400.00 , £153.60 ,44.44%, £246.40 ,62%
