Order_ID,Return_year,Return_Month,Return_day,Hour,Minute,Second,Return_Date
1794,2018,12,9,10,31,56,12/9/18
2626,2019,5,31,16,51,10,5/31/19
2257,2019,3,18,14,56,35,3/18/19
4347,2020,4,3,14,21,59,4/3/20
1154,2018,9,18,9,49,37,9/18/18
7191,2021,8,30,10,35,31,8/30/21
4046,2020,1,4,8,46,31,1/4/20
2524,2019,4,4,14,46,8,4/4/19
3112,2019,7,28,15,26,34,7/28/19
4544,2020,3,30,12,33,7,3/30/20
3474,2019,9,16,9,16,33,9/16/19
1496,2018,11,25,10,47,31,11/25/18
49,2018,4,11,11,22,17,4/11/18
6840,2021,6,2,14,19,18,6/2/21
5261,2020,10,11,15,39,32,10/11/20
5731,2020,10,9,9,7,9,10/9/20
5693,2020,10,15,12,20,2,10/15/20
7669,2021,11,23,12,46,32,11/23/21
1148,2018,8,15,12,4,41,8/15/18
7953,2022,1,17,10,43,32,1/17/22
2377,2019,4,29,14,50,59,4/29/19
2188,2019,3,3,15,30,30,3/3/19
1074,2018,10,15,9,40,22,10/15/18
68,2018,2,20,11,12,57,2/20/18
820,2018,8,30,13,26,39,8/30/18
2568,2019,4,23,14,46,48,4/23/19
29,2018,4,19,16,55,29,4/19/18
354,2018,3,28,12,27,32,3/28/18
1878,2019,2,2,12,14,6,2/2/19
6395,2021,4,20,11,40,3,4/20/21
3336,2019,10,24,11,32,1,10/24/19
5394,2020,9,14,15,4,57,9/14/20
7995,2022,2,2,11,51,28,2/2/22
6994,2021,8,23,13,40,43,8/23/21
7474,2021,8,17,16,38,58,8/17/21
3079,2019,7,9,10,50,12,7/9/19
1563,2018,12,7,16,13,20,12/7/18
6457,2021,4,1,13,27,7,4/1/21
6272,2021,1,20,16,52,39,1/20/21
2771,2019,5,12,12,13,8,5/12/19
2186,2019,2,7,14,29,24,2/7/19
5239,2020,8,3,10,31,29,8/3/20
2114,2019,2,21,15,10,12,2/21/19
3601,2019,10,22,10,50,8,10/22/19
5686,2020,12,9,15,23,1,12/9/20
2219,2019,5,10,9,54,31,5/10/19
302,2018,4,1,14,38,17,4/1/18
697,2018,6,5,11,30,10,6/5/18
6588,2021,5,10,16,1,48,5/10/21
3532,2019,11,13,10,49,28,11/13/19
872,2018,8,15,13,49,2,8/15/18
1645,2019,1,11,15,20,10,1/11/19
1180,2018,10,10,16,21,12,10/10/18
1444,2018,11,30,9,9,56,11/30/18
5423,2020,10,20,15,47,35,10/20/20
2275,2019,4,11,15,2,43,4/11/19
3106,2019,9,7,15,57,22,9/7/19
656,2018,6,9,13,10,19,6/9/18
639,2018,5,1,13,52,41,5/1/18
7600,2021,11,28,12,12,50,11/28/21
6402,2021,2,7,12,16,33,2/7/21
2296,2019,3,3,13,43,42,3/3/19
216,2018,4,17,13,59,48,4/17/18
1161,2018,8,25,8,40,30,8/25/18
6470,2021,5,16,14,10,58,5/16/21
3189,2019,8,21,9,50,20,8/21/19
5924,2020,12,18,8,38,7,12/18/20
6951,2021,7,14,16,40,37,7/14/21
7190,2021,9,13,9,22,3,9/13/21
5004,2020,6,1,16,37,11,6/1/20
4089,2020,1,20,14,44,27,1/20/20
6858,2021,7,25,13,18,21,7/25/21
6835,2021,6,20,14,26,48,6/20/21
5867,2020,11,6,8,26,53,11/6/20
2059,2019,1,18,11,9,9,1/18/19
3529,2019,10,1,10,46,11,10/1/19
4984,2020,7,26,12,37,7,7/26/20
6176,2021,3,21,10,8,10,3/21/21
3202,2019,8,5,14,51,53,8/5/19
3882,2019,12,10,12,45,1,12/10/19
4467,2020,2,22,14,40,57,2/22/20
8217,2022,1,25,16,13,30,1/25/22
8132,2022,1,22,9,58,17,1/22/22
7987,2021,11,2,13,45,55,11/2/21
89,2018,3,14,16,8,50,3/14/18
1748,2018,12,14,12,36,16,12/14/18
4461,2020,5,2,8,16,32,5/2/20
1368,2018,11,26,15,16,32,11/26/18
1501,2018,12,30,14,1,37,12/30/18
372,2018,5,10,11,17,10,5/10/18
7569,2021,9,28,11,49,5,9/28/21
2438,2019,6,7,12,37,37,6/7/19
7761,2021,12,10,14,36,30,12/10/21
6199,2021,1,20,8,6,45,1/20/21
1259,2018,10,3,8,13,42,10/3/18
1669,2018,10,28,13,25,11,10/28/18
879,2018,9,2,11,20,48,9/2/18
5704,2020,10,5,13,18,57,10/5/20
1134,2018,10,14,16,35,47,10/14/18
8019,2021,11,25,15,54,52,11/25/21
1536,2018,12,3,13,3,23,12/3/18
1711,2019,1,3,14,44,45,1/3/19
131,2018,3,4,13,44,46,3/4/18
2934,2019,8,7,14,26,27,8/7/19
4628,2020,3,20,9,12,25,3/20/20
1904,2019,3,11,15,25,49,3/11/19
61,2018,2,24,14,17,35,2/24/18
3206,2019,11,1,10,29,51,11/1/19
6053,2021,1,19,12,16,28,1/19/21
1854,2019,1,18,10,40,22,1/18/19
2063,2019,1,2,16,9,14,1/2/19
6033,2021,2,21,11,23,40,2/21/21
3107,2019,9,11,11,46,51,9/11/19
3821,2020,2,11,10,38,11,2/11/20
3948,2020,2,25,16,32,0,2/25/20
2637,2019,5,13,10,47,24,5/13/19
8135,2022,1,18,14,4,21,1/18/22
6293,2021,2,26,9,28,27,2/26/21
6736,2021,7,13,12,52,11,7/13/21
8221,2022,1,15,14,8,56,1/15/22
2218,2019,3,27,16,37,54,3/27/19
5084,2020,6,28,15,58,35,6/28/20
7676,2021,10,19,8,7,2,10/19/21
617,2018,7,17,12,37,33,7/17/18
5321,2020,7,22,10,37,45,7/22/20
5929,2021,1,2,16,2,35,1/2/21
4941,2020,6,14,13,6,41,6/14/20
8300,2022,1,28,10,34,24,1/28/22
3567,2019,10,9,9,27,17,10/9/19
5103,2020,7,1,9,9,29,7/1/20
5977,2021,2,28,10,5,6,2/28/21
8223,2021,12,28,9,5,36,12/28/21
7629,2021,11,22,13,43,36,11/22/21
4789,2020,5,10,13,47,9,5/10/20
1478,2018,10,25,10,34,16,10/25/18
5087,2020,8,26,12,49,8,8/26/20
7972,2022,1,24,16,49,4,1/24/22
4911,2020,6,10,16,0,38,6/10/20
7920,2021,12,30,13,39,10,12/30/21
2458,2019,6,7,11,49,31,6/7/19
1415,2018,12,19,16,46,0,12/19/18
5688,2020,10,6,13,59,51,10/6/20
7522,2021,9,3,9,29,27,9/3/21
7140,2021,9,3,15,20,54,9/3/21
6872,2021,7,27,14,7,55,7/27/21
7989,2021,11,13,10,46,33,11/13/21
8360,2022,3,24,12,49,13,3/24/22
8369,2022,3,16,16,2,5,3/16/22
7680,2021,12,4,16,28,39,12/4/21
1616,2018,11,16,16,36,20,11/16/18
8075,2022,2,1,9,42,33,2/1/22
4567,2020,3,18,8,14,14,3/18/20
3779,2019,12,31,14,33,10,12/31/19
5681,2021,1,5,11,48,36,1/5/21
1358,2018,11,24,8,33,53,11/24/18
7720,2021,11,13,9,36,19,11/13/21
3470,2019,9,17,14,32,32,9/17/19
3276,2019,10,27,15,58,3,10/27/19
6651,2021,4,22,14,13,2,4/22/21
3681,2019,12,25,14,51,20,12/25/19
4906,2020,7,1,8,9,39,7/1/20
628,2018,5,31,13,0,45,5/31/18
3545,2019,11,20,11,32,22,11/20/19
4755,2020,6,1,9,31,52,6/1/20
3227,2019,9,14,9,5,28,9/14/19
5110,2020,9,11,16,26,2,9/11/20
1828,2018,11,26,16,34,28,11/26/18
3201,2019,9,24,12,46,47,9/24/19
326,2018,3,23,12,42,32,3/23/18
6527,2021,3,17,15,5,14,3/17/21
3066,2019,8,17,8,30,59,8/17/19
7745,2021,12,10,9,50,3,12/10/21
3909,2020,1,20,15,36,58,1/20/20
5503,2020,11,25,15,14,31,11/25/20
3927,2019,12,10,9,57,36,12/10/19
4206,2020,3,19,8,40,26,3/19/20
6250,2021,3,22,13,6,33,3/22/21
584,2018,6,22,16,34,39,6/22/18
7608,2021,11,11,10,6,36,11/11/21
6856,2021,5,31,10,55,43,5/31/21
7871,2021,11,7,10,42,20,11/7/21
4150,2020,2,9,10,50,49,2/9/20
5954,2021,1,3,13,36,4,1/3/21
5396,2020,8,29,9,31,27,8/29/20
267,2018,5,29,9,23,44,5/29/18
5931,2020,11,21,12,32,45,11/21/20
1345,2018,9,27,12,6,4,9/27/18
6241,2021,4,8,14,38,50,4/8/21
5661,2020,10,31,8,59,45,10/31/20
6532,2021,6,1,11,10,20,6/1/21
2500,2019,4,25,15,53,0,4/25/19
808,2018,6,6,8,32,27,6/6/18
45,2018,4,17,9,18,18,4/17/18
7960,2021,11,30,8,45,26,11/30/21
2294,2019,5,4,14,47,3,5/4/19
5060,2020,7,17,13,53,26,7/17/20
1,2018,2,5,10,42,40,2/5/18
7600,2021,10,8,11,52,33,10/8/21
1446,2018,11,18,10,10,37,11/18/18
7591,2021,10,8,8,53,58,10/8/21
7946,2021,10,27,11,23,3,10/27/21
1943,2019,1,31,15,27,43,1/31/19
2060,2019,2,26,8,44,30,2/26/19
3851,2019,12,14,12,53,28,12/14/19
3942,2020,2,25,11,12,15,2/25/20
1419,2018,10,30,13,50,26,10/30/18
3881,2019,11,24,14,58,16,11/24/19
2819,2019,8,7,16,49,23,8/7/19
3103,2019,8,2,12,5,23,8/2/19
4086,2020,2,1,13,16,17,2/1/20
4656,2020,4,14,8,50,30,4/14/20
6795,2021,4,15,8,32,41,4/15/21
1149,2018,8,21,13,4,7,8/21/18
3808,2020,2,4,15,10,8,2/4/20
6416,2021,4,18,11,49,40,4/18/21
1072,2018,10,13,8,25,47,10/13/18
2582,2019,4,20,14,4,7,4/20/19
989,2018,9,25,10,27,47,9/25/18
3021,2019,7,31,15,30,35,7/31/19
129,2018,2,19,11,15,57,2/19/18
766,2018,6,29,9,23,47,6/29/18
7092,2021,8,25,12,27,35,8/25/21
915,2018,6,24,15,21,45,6/24/18
4307,2020,3,16,9,24,39,3/16/20
6639,2021,4,7,13,39,18,4/7/21
5213,2020,8,13,8,38,6,8/13/20
7598,2021,10,12,12,44,9,10/12/21
4860,2020,6,18,13,39,31,6/18/20
7966,2022,1,1,8,40,56,1/1/22
3424,2019,10,25,13,45,54,10/25/19
3992,2019,12,27,14,0,19,12/27/19
1093,2018,7,28,16,28,17,7/28/18
7190,2021,9,7,14,54,33,9/7/21
4998,2020,7,26,8,28,19,7/26/20
4930,2020,8,5,9,37,56,8/5/20
1599,2018,12,5,13,34,16,12/5/18
3332,2019,11,22,16,3,33,11/22/19
2453,2019,5,9,9,8,25,5/9/19
6916,2021,5,22,13,27,25,5/22/21
4227,2020,3,24,12,14,27,3/24/20
5918,2021,1,4,9,35,13,1/4/21
5870,2020,12,29,10,59,0,12/29/20
4474,2020,3,2,8,22,50,3/2/20
3432,2019,11,1,16,59,14,11/1/19
7891,2021,11,17,9,30,4,11/17/21
3366,2019,9,9,10,36,24,9/9/19
2689,2019,7,24,10,51,44,7/24/19
5562,2020,12,4,10,48,34,12/4/20
4636,2020,6,8,14,4,22,6/8/20
3808,2019,11,9,11,36,5,11/9/19
2047,2019,1,24,8,24,48,1/24/19
627,2018,5,19,10,9,28,5/19/18
6522,2021,3,6,13,27,23,3/6/21
7649,2021,11,7,10,50,43,11/7/21
2825,2019,7,4,9,11,53,7/4/19
5542,2020,11,21,8,36,43,11/21/20
1250,2018,8,16,13,43,46,8/16/18
7156,2021,6,25,8,5,45,6/25/21
1140,2018,10,23,13,3,41,10/23/18
7948,2021,11,29,10,24,7,11/29/21
7792,2021,12,24,14,22,0,12/24/21
7147,2021,6,11,9,39,34,6/11/21
1065,2018,9,2,10,48,45,9/2/18
894,2018,8,28,15,34,2,8/28/18
5621,2020,11,23,13,54,28,11/23/20
6191,2021,3,22,13,37,18,3/22/21
979,2018,8,10,16,55,2,8/10/18
6352,2021,4,7,8,45,55,4/7/21
1855,2018,12,24,16,14,37,12/24/18
7432,2021,9,19,15,32,28,9/19/21
508,2018,4,25,15,7,4,4/25/18
5116,2020,6,16,14,23,30,6/16/20
1326,2018,9,1,13,30,6,9/1/18
2680,2019,4,26,9,12,55,4/26/19
2537,2019,6,5,12,29,30,6/5/19
5367,2020,8,15,15,24,56,8/15/20
6075,2021,2,3,11,52,34,2/3/21
860,2018,7,11,13,21,40,7/11/18
6794,2021,6,10,10,1,34,6/10/21
5008,2020,6,5,15,58,58,6/5/20
4962,2020,8,24,16,19,7,8/24/20
8147,2022,3,7,10,20,34,3/7/22
4933,2020,7,9,11,37,21,7/9/20
2119,2019,4,14,15,54,30,4/14/19
6676,2021,5,25,10,37,45,5/25/21
3330,2019,8,28,10,52,32,8/28/19
1376,2018,12,11,8,34,50,12/11/18
7925,2021,11,22,13,47,31,11/22/21
1824,2018,11,24,13,46,53,11/24/18
8061,2022,1,30,12,47,58,1/30/22
2281,2019,3,10,16,32,48,3/10/19
5988,2021,1,10,12,10,58,1/10/21
3672,2019,12,14,13,42,30,12/14/19
7483,2021,8,9,12,33,10,8/9/21
1853,2019,2,1,15,35,3,2/1/19
1556,2018,11,19,13,24,59,11/19/18
6838,2021,7,30,12,48,9,7/30/21
51,2018,3,13,13,53,3,3/13/18
1858,2019,3,3,14,43,44,3/3/19
4551,2020,3,30,15,29,54,3/30/20
8106,2021,11,22,14,1,42,11/22/21
4815,2020,7,22,9,7,51,7/22/20
5016,2020,7,10,15,55,38,7/10/20
4899,2020,6,8,12,0,31,6/8/20
5228,2020,9,22,14,17,5,9/22/20
7153,2021,7,9,13,2,55,7/9/21
6603,2021,6,1,16,9,53,6/1/21
1108,2018,7,22,11,17,52,7/22/18
538,2018,7,23,8,28,31,7/23/18
7567,2021,10,18,9,23,15,10/18/21
5867,2020,12,30,15,13,41,12/30/20
4697,2020,4,5,12,8,42,4/5/20
168,2018,4,2,14,58,5,4/2/18
8205,2022,3,7,13,33,2,3/7/22
8108,2022,1,25,9,39,36,1/25/22
1998,2019,3,1,16,48,17,3/1/19
6973,2021,7,27,16,13,39,7/27/21
5634,2020,12,27,16,39,42,12/27/20
4177,2020,2,7,8,58,59,2/7/20
3789,2019,11,23,14,23,33,11/23/19
7570,2021,8,31,13,14,22,8/31/21
1022,2018,9,30,10,10,14,9/30/18
5023,2020,8,24,10,54,39,8/24/20
5,2018,3,6,11,48,0,3/6/18
2556,2019,4,20,16,0,52,4/20/19
2856,2019,7,5,12,55,9,7/5/19
5735,2020,12,25,14,55,45,12/25/20
5680,2020,10,16,13,15,47,10/16/20
5647,2020,12,1,9,10,7,12/1/20
5231,2020,7,21,14,23,8,7/21/20
6455,2021,5,7,8,6,59,5/7/21
2698,2019,5,28,15,42,54,5/28/19
3864,2020,2,15,14,41,0,2/15/20
2199,2019,2,21,12,20,43,2/21/19
1557,2018,11,15,12,18,51,11/15/18
4614,2020,4,9,13,37,58,4/9/20
825,2018,7,12,10,1,32,7/12/18
1953,2019,1,15,12,53,42,1/15/19
3378,2019,11,7,9,22,4,11/7/19
5121,2020,8,1,12,17,40,8/1/20
6111,2021,3,18,9,5,19,3/18/21
4312,2020,2,4,9,11,47,2/4/20
726,2018,5,27,11,6,26,5/27/18
8354,2022,2,19,14,19,20,2/19/22
2102,2019,2,2,9,48,46,2/2/19
3778,2019,12,1,12,47,47,12/1/19
1822,2019,1,9,8,29,53,1/9/19
1503,2018,12,15,13,50,46,12/15/18
3442,2019,9,9,10,25,40,9/9/19
2653,2019,7,6,15,26,20,7/6/19
6767,2021,4,20,8,52,9,4/20/21
395,2018,4,11,10,5,35,4/11/18
1232,2018,8,13,12,5,18,8/13/18
3091,2019,8,23,9,12,16,8/23/19
6175,2021,2,12,11,43,42,2/12/21
1532,2018,10,26,13,1,7,10/26/18
6065,2021,2,6,12,37,18,2/6/21
5383,2020,8,17,12,47,22,8/17/20
6770,2021,5,8,10,27,31,5/8/21
1620,2018,10,17,10,38,37,10/17/18
7060,2021,5,30,15,36,15,5/30/21
3048,2019,8,29,11,43,54,8/29/19
2892,2019,8,5,12,38,1,8/5/19
1335,2018,9,22,15,53,27,9/22/18
7545,2021,11,3,10,53,22,11/3/21
1387,2018,10,20,11,4,18,10/20/18
1028,2018,7,16,11,48,25,7/16/18
3311,2019,10,20,9,11,56,10/20/19
2983,2019,9,9,9,20,18,9/9/19
6524,2021,4,25,10,6,43,4/25/21
5720,2021,1,7,8,0,12,1/7/21
7616,2021,10,18,8,35,58,10/18/21
7271,2021,9,15,14,22,4,9/15/21
3754,2020,1,21,9,32,33,1/21/20
5724,2020,12,20,16,36,19,12/20/20
6432,2021,2,15,16,3,6,2/15/21
8202,2021,12,27,16,43,13,12/27/21
8165,2022,1,29,10,0,29,1/29/22
1196,2018,9,6,8,3,40,9/6/18
1757,2018,11,17,11,56,48,11/17/18
1650,2018,11,7,10,37,24,11/7/18
6037,2021,1,6,11,24,11,1/6/21
8033,2021,12,4,14,27,26,12/4/21
4521,2020,4,15,9,9,16,4/15/20
698,2018,5,12,15,0,20,5/12/18
4909,2020,8,3,8,39,5,8/3/20
6937,2021,5,18,12,53,55,5/18/21
6147,2021,3,3,16,50,43,3/3/21
2349,2019,5,17,16,55,51,5/17/19
1878,2018,12,14,13,52,54,12/14/18
1075,2018,10,8,9,9,32,10/8/18
2204,2019,3,16,13,48,57,3/16/19
2004,2019,2,3,15,44,45,2/3/19
860,2018,6,27,8,7,24,6/27/18
3806,2019,12,4,9,1,42,12/4/19
1633,2018,10,30,14,12,15,10/30/18
6388,2021,4,26,11,35,37,4/26/21
2214,2019,3,4,12,11,43,3/4/19
3881,2019,11,19,15,49,23,11/19/19
6881,2021,5,24,11,8,21,5/24/21
4246,2020,2,26,11,58,1,2/26/20
1527,2018,10,22,12,13,6,10/22/18
1236,2018,8,13,8,22,14,8/13/18
1677,2019,1,28,11,20,23,1/28/19
7723,2021,12,11,14,50,46,12/11/21
381,2018,4,15,13,7,38,4/15/18
555,2018,6,7,9,23,41,6/7/18
2474,2019,4,17,16,55,41,4/17/19
6796,2021,6,29,13,6,27,6/29/21
122,2018,4,2,14,42,45,4/2/18
2352,2019,5,21,14,22,7,5/21/19
2002,2019,1,10,11,29,14,1/10/19
7110,2021,6,22,11,20,27,6/22/21
3026,2019,8,1,16,36,48,8/1/19
161,2018,4,9,8,58,29,4/9/18
3283,2019,10,9,9,11,4,10/9/19
5835,2021,2,1,8,58,20,2/1/21
5082,2020,9,16,15,17,49,9/16/20
3768,2019,12,31,14,36,39,12/31/19
5028,2020,8,18,8,31,20,8/18/20
5523,2020,11,23,16,59,56,11/23/20
4091,2020,2,20,8,3,42,2/20/20
6619,2021,5,27,10,17,32,5/27/21
1060,2018,8,24,12,41,8,8/24/18
5954,2021,1,18,14,2,47,1/18/21
1888,2019,3,9,8,5,57,3/9/19
1014,2018,8,8,8,7,11,8/8/18
1953,2018,12,18,9,35,28,12/18/18
7813,2021,10,6,14,18,13,10/6/21
1655,2018,11,28,14,55,52,11/28/18
5255,2020,9,12,13,31,16,9/12/20
6856,2021,6,15,11,58,25,6/15/21
1609,2018,12,14,14,48,19,12/14/18
6701,2021,4,14,9,6,52,4/14/21

